Cinsiyet,65 Yaş Üstü,Medeni Durum,Bakma Sorumluluğu,Müşteri Olma Süresi(Ay),Ev Telefonu Aboneliği,Birden Fazla Abonelik Durumu,İnternet Aboneliği,Güvenlik Hizmeti Aboneliği,Yedekleme Hizmeti Aboneliği,Ekipman Güvenlik Aboneliği,Teknik Destek Aboneliği,IP Tv Aboneliği,Film Abonelği,Sözleşme Süresi,Online Fatura(Kağıtsız),Ödeme Şekli,Aylık Ücret,Toplam Ücret,Kayıp Durumu
Kadın,Hayır,Evli,Yok,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,29.85,29.85,Yok
Erkek,Hayır,Bekar,Yok,34,Var,Yok,DSL,Var,Yok,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,56.95,1889.5,Yok
Erkek,Hayır,Bekar,Yok,2,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,53.85,108.15,Var
Erkek,Hayır,Bekar,Yok,45,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Yok,Yok,1 Yıllık,Hayır,Havale,42.3,1840.75,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,70.7,151.65,Var
Kadın,Hayır,Bekar,Yok,8,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,99.65,820.5,Var
Erkek,Hayır,Bekar,Var,22,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,89.1,1949.4,Yok
Kadın,Hayır,Bekar,Yok,10,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,29.75,301.9,Yok
Kadın,Hayır,Evli,Yok,28,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,1 Aylık,Evet,Elektronik,104.8,3046.05,Var
Erkek,Hayır,Bekar,Var,62,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Havale,56.15,3487.95,Yok
Erkek,Hayır,Evli,Var,13,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,49.95,587.45,Yok
Erkek,Hayır,Bekar,Yok,16,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,18.95,326.8,Yok
Erkek,Hayır,Evli,Yok,58,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Yıllık,Hayır,Kredi Kartı,100.35,5681.1,Yok
Erkek,Hayır,Bekar,Yok,49,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Havale,103.7,5036.3,Var
Erkek,Hayır,Bekar,Yok,25,Var,Yok,Fiber Optik,Var,Yok,Var,Var,Var,Var,1 Aylık,Evet,Elektronik,105.5,2686.05,Yok
Kadın,Hayır,Evli,Var,69,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Kredi Kartı,113.25,7895.15,Yok
Kadın,Hayır,Bekar,Yok,52,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,20.65,1022.95,Yok
Erkek,Hayır,Bekar,Var,71,Var,Var,Fiber Optik,Var,Yok,Var,Yok,Var,Var,2 Yıllık,Hayır,Havale,106.7,7382.25,Yok
Kadın,Hayır,Evli,Var,10,Var,Yok,DSL,Yok,Yok,Var,Var,Yok,Yok,1 Aylık,Hayır,Kredi Kartı,55.2,528.35,Var
Kadın,Hayır,Bekar,Yok,21,Var,Yok,Fiber Optik,Yok,Var,Var,Yok,Yok,Var,1 Aylık,Evet,Elektronik,90.05,1862.9,Yok
Erkek,Evet,Bekar,Yok,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Var,Yok,Yok,Var,1 Aylık,Evet,Elektronik,39.65,39.65,Var
Erkek,Hayır,Evli,Yok,12,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Havale,19.8,202.25,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.15,20.15,Var
Kadın,Hayır,Evli,Yok,58,Var,Var,DSL,Yok,Var,Yok,Var,Yok,Yok,2 Yıllık,Evet,Kredi Kartı,59.9,3505.1,Yok
Erkek,Hayır,Evli,Var,49,Var,Yok,DSL,Var,Var,Yok,Var,Yok,Yok,1 Aylık,Hayır,Kredi Kartı,59.6,2970.3,Yok
Kadın,Hayır,Bekar,Yok,30,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,55.3,1530.6,Yok
Erkek,Hayır,Evli,Var,47,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,99.35,4749.15,Var
Erkek,Hayır,Evli,Var,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,30.2,30.2,Var
Erkek,Hayır,Evli,Yok,72,Var,Var,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,90.25,6369.45,Yok
Kadın,Hayır,Bekar,Var,17,Var,Yok,DSL,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Mail,64.7,1093.1,Var
Kadın,Evet,Evli,Yok,71,Var,Var,Fiber Optik,Var,Var,Var,Var,Yok,Yok,2 Yıllık,Evet,Kredi Kartı,96.35,6766.95,Yok
Erkek,Evet,Evli,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,95.5,181.65,Yok
Kadın,Hayır,Evli,Var,27,Var,Yok,DSL,Var,Var,Var,Var,Yok,Yok,1 Yıllık,Hayır,Mail,66.15,1874.45,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Havale,20.2,20.2,Yok
Erkek,Evet,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,45.25,45.25,Yok
Kadın,Hayır,Evli,Var,72,Var,Var,Fiber Optik,Var,Var,Yok,Var,Var,Yok,2 Yıllık,Hayır,Havale,99.9,7251.7,Yok
Erkek,Hayır,Bekar,Yok,5,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,69.7,316.9,Var
Kadın,Hayır,Bekar,Yok,46,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,74.8,3548.3,Yok
Erkek,Hayır,Bekar,Yok,34,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,106.35,3549.25,Var
Kadın,Hayır,Bekar,Yok,11,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Havale,97.85,1105.4,Var
Erkek,Hayır,Evli,Var,10,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,49.55,475.7,Yok
Kadın,Hayır,Evli,Var,70,Var,Var,DSL,Var,Var,Yok,Yok,Var,Yok,2 Yıllık,Evet,Kredi Kartı,69.2,4872.35,Yok
Kadın,Hayır,Evli,Var,17,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,20.75,418.25,Yok
Kadın,Hayır,Bekar,Yok,63,Var,Var,DSL,Var,Var,Var,Var,Var,Yok,2 Yıllık,Evet,Kredi Kartı,79.85,4861.45,Yok
Kadın,Hayır,Evli,Yok,13,Var,Var,DSL,Var,Var,Yok,Var,Var,Yok,1 Aylık,Evet,Elektronik,76.2,981.45,Yok
Kadın,Hayır,Bekar,Yok,49,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,84.5,3906.7,Yok
Erkek,Hayır,Bekar,Yok,2,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,49.25,97.0,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,80.65,144.15,Var
Erkek,Hayır,Bekar,Yok,52,Var,Var,DSL,Var,Yok,Yok,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,79.75,4217.8,Yok
Kadın,Hayır,Evli,Var,69,Var,Var,DSL,Var,Yok,Var,Var,Yok,Yok,2 Yıllık,Evet,Kredi Kartı,64.15,4254.1,Yok
Kadın,Evet,Bekar,Yok,43,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,90.25,3838.75,Yok
Kadın,Hayır,Bekar,Yok,15,Var,Yok,Fiber Optik,Var,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,99.1,1426.4,Var
Kadın,Evet,Evli,Yok,25,Var,Var,DSL,Var,Yok,Yok,Var,Var,Yok,1 Aylık,Evet,Kredi Kartı,69.5,1752.65,Yok
Kadın,Evet,Evli,Yok,8,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,80.65,633.3,Var
Kadın,Evet,Evli,Var,60,Var,Yok,DSL,Var,Var,Var,Var,Yok,Var,1 Yıllık,Evet,Kredi Kartı,74.85,4456.35,Yok
Erkek,Evet,Bekar,Yok,18,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,95.45,1752.55,Var
Kadın,Hayır,Evli,Var,63,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Var,Var,1 Yıllık,Evet,Kredi Kartı,99.65,6311.2,Yok
Erkek,Evet,Evli,Var,66,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,108.45,7076.35,Yok
Kadın,Hayır,Evli,Var,34,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,24.95,894.3,Yok
Kadın,Hayır,Bekar,Yok,72,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,107.5,7853.7,Yok
Kadın,Hayır,Evli,Yok,47,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,100.5,4707.1,Yok
Erkek,Hayır,Bekar,Yok,60,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Havale,89.9,5450.7,Yok
Erkek,Hayır,Evli,Yok,72,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Yok,Yok,Yok,2 Yıllık,Hayır,Havale,42.1,2962.0,Yok
Kadın,Hayır,Evli,Var,18,Var,Yok,DSL,Yok,Yok,Var,Var,Yok,Yok,1 Yıllık,Evet,Kredi Kartı,54.4,957.1,Yok
Kadın,Hayır,Bekar,Yok,9,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Hayır,Elektronik,94.4,857.25,Var
Kadın,Hayır,Bekar,Yok,3,Var,Yok,DSL,Yok,Var,Yok,Var,Var,Var,1 Aylık,Evet,Elektronik,75.3,244.1,Yok
Erkek,Hayır,Evli,Yok,47,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Yıllık,Evet,Elektronik,78.9,3650.35,Yok
Kadın,Hayır,Bekar,Yok,31,Var,Yok,DSL,Yok,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Mail,79.2,2497.2,Yok
Kadın,Hayır,Evli,Var,50,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,20.15,930.9,Yok
Erkek,Hayır,Bekar,Yok,10,Var,Yok,Fiber Optik,Var,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Mail,79.85,887.35,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Hayır,Mail,49.05,49.05,Yok
Kadın,Hayır,Evli,Var,52,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Evet,Elektronik,20.4,1090.65,Yok
Erkek,Evet,Evli,Var,64,Var,Var,Fiber Optik,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Havale,111.6,7099.0,Yok
Erkek,Hayır,Evli,Var,62,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,24.25,1424.6,Yok
Kadın,Hayır,Bekar,Var,3,Var,Yok,DSL,Var,Yok,Yok,Var,Yok,Var,1 Aylık,Evet,Havale,64.5,177.4,Yok
Kadın,Evet,Bekar,Yok,56,Var,Var,Fiber Optik,Var,Var,Var,Yok,Var,Var,1 Yıllık,Hayır,Elektronik,110.5,6139.5,Yok
