iter	Passed	Remaining
0	6	41805
1	14	49773
2	19	43542
3	22	38734
4	31	42343
5	36	41506
6	40	39271
7	48	40945
8	54	40867
9	59	40144
10	64	39752
11	73	41266
12	79	41021
13	84	40783
14	90	40507
15	95	40349
16	101	40101
17	106	39767
18	112	39786
19	119	40108
20	124	39928
21	128	39313
22	134	39449
23	141	39530
24	146	39354
25	151	39076
26	160	40027
27	166	39941
28	171	39644
29	180	40326
30	185	40208
31	191	40122
32	199	40591
33	204	40334
34	211	40578
35	220	41017
36	224	40766
37	229	40570
38	238	41026
39	242	40592
40	247	40439
41	256	40996
42	261	40831
43	268	40849
44	275	41038
45	280	40876
46	286	40822
47	293	40995
48	297	40697
49	302	40562
50	308	40527
51	314	40432
52	318	40243
53	327	40556
54	332	40450
55	337	40314
56	343	40300
57	348	40231
58	352	39989
59	356	39719
60	363	39812
61	370	39962
62	374	39698
63	378	39500
64	384	39511
65	390	39551
66	394	39297
67	400	39300
68	408	39501
69	411	39255
70	419	39433
71	425	39406
72	429	39213
73	433	39072
74	442	39389
75	447	39268
76	451	39117
77	459	39296
78	465	39236
79	469	39078
80	475	39110
81	487	39573
82	489	39307
83	494	39228
84	502	39380
85	507	39309
86	511	39143
87	519	39268
88	524	39214
89	527	39040
90	534	39047
91	541	39150
92	545	38990
93	552	39096
94	559	39166
95	562	38973
96	571	39177
97	577	39156
98	581	39020
99	591	39288
100	596	39211
101	601	39198
102	609	39334
103	616	39359
104	620	39236
105	627	39282
106	633	39330
107	637	39198
108	643	39204
109	651	39293
110	655	39187
111	661	39175
112	669	39321
113	673	39182
114	680	39234
115	687	39298
116	692	39203
117	698	39215
118	706	39326
119	711	39277
120	714	39138
121	723	39262
122	729	39250
123	732	39122
124	739	39159
125	746	39226
126	750	39083
127	758	39190
128	763	39154
129	767	39059
130	771	38974
131	782	39208
132	787	39131
133	795	39228
134	802	39275
135	806	39196
136	810	39111
137	817	39121
138	822	39079
139	826	38973
140	830	38895
141	838	38994
142	843	38932
143	849	38928
144	855	38947
145	862	38967
146	865	38855
147	876	39073
148	881	39006
149	884	38909
150	893	39009
151	899	39013
152	905	38999
153	912	39049
154	917	39013
155	921	38900
156	930	39042
157	934	38962
158	938	38883
159	943	38813
160	950	38871
161	956	38861
162	960	38793
163	967	38817
164	974	38865
165	979	38836
166	985	38799
167	991	38831
168	998	38841
169	1003	38803
170	1008	38771
171	1016	38847
172	1021	38800
173	1028	38858
174	1036	38897
175	1039	38806
176	1045	38781
177	1052	38825
178	1057	38773
179	1061	38701
180	1069	38797
181	1075	38783
182	1079	38719
183	1087	38769
184	1094	38809
185	1097	38714
186	1104	38749
187	1113	38835
188	1117	38752
189	1122	38743
190	1129	38774
191	1135	38741
192	1139	38669
193	1147	38758
194	1154	38763
195	1157	38689
196	1164	38710
197	1170	38712
198	1174	38627
199	1177	38546
200	1186	38629
201	1190	38577
202	1195	38516
203	1205	38644
204	1210	38602
205	1213	38515
206	1222	38611
207	1227	38562
208	1231	38515
209	1242	38667
210	1246	38592
211	1250	38535
212	1257	38568
213	1263	38549
214	1268	38526
215	1273	38496
216	1282	38572
217	1286	38531
218	1292	38510
219	1298	38517
220	1304	38500
221	1308	38438
222	1315	38473
223	1322	38490
224	1326	38440
225	1335	38517
226	1340	38487
227	1344	38429
228	1352	38493
229	1358	38482
230	1361	38393
231	1368	38426
232	1376	38473
233	1381	38432
234	1388	38470
235	1396	38518
236	1400	38445
237	1409	38533
238	1414	38503
239	1418	38441
240	1426	38502
241	1431	38470
242	1435	38415
243	1442	38435
244	1449	38448
245	1453	38393
246	1459	38389
247	1470	38513
248	1475	38495
249	1481	38487
250	1488	38499
251	1493	38479
252	1497	38435
253	1505	38476
254	1513	38527
255	1517	38455
256	1522	38436
257	1530	38481
258	1537	38495
259	1544	38530
260	1550	38521
261	1555	38495
262	1558	38414
263	1565	38426
264	1574	38498
265	1578	38458
266	1582	38401
267	1593	38499
268	1598	38471
269	1606	38521
270	1613	38540
271	1617	38488
272	1624	38511
273	1631	38541
274	1635	38473
275	1640	38455
276	1647	38477
277	1652	38432
278	1656	38387
279	1664	38437
280	1670	38418
281	1673	38355
282	1682	38419
283	1688	38403
284	1693	38389
285	1701	38417
286	1704	38364
287	1709	38337
288	1717	38373
289	1722	38345
290	1726	38283
291	1735	38353
292	1740	38325
293	1743	38264
294	1749	38254
295	1758	38316
296	1762	38261
297	1767	38244
298	1773	38229
299	1778	38202
300	1782	38154
301	1790	38194
302	1795	38178
303	1799	38135
304	1805	38124
305	1815	38204
306	1819	38161
307	1825	38149
308	1834	38205
309	1838	38160
310	1843	38133
311	1851	38166
312	1855	38134
313	1859	38082
314	1867	38115
315	1872	38102
316	1879	38114
317	1886	38131
318	1892	38113
319	1897	38088
320	1905	38132
321	1911	38122
322	1916	38097
323	1920	38051
324	1927	38076
325	1932	38060
326	1938	38055
327	1945	38070
328	1950	38039
329	1954	37985
330	1960	37989
331	1970	38063
332	1975	38038
333	1980	38020
334	1990	38094
335	1995	38063
336	2000	38033
337	2009	38100
338	2014	38070
339	2018	38016
340	2024	38029
341	2031	38033
342	2035	37997
343	2041	37981
344	2047	37991
345	2052	37957
346	2057	37929
347	2063	37936
348	2069	37925
349	2073	37886
350	2077	37850
351	2084	37858
352	2090	37847
353	2094	37808
354	2102	37837
355	2109	37854
356	2112	37800
357	2120	37830
358	2126	37819
359	2130	37791
360	2137	37794
361	2142	37774
362	2146	37743
363	2153	37743
364	2160	37771
365	2166	37752
366	2171	37743
367	2178	37750
368	2185	37759
369	2190	37749
370	2197	37758
371	2203	37749
372	2206	37701
373	2212	37687
374	2218	37683
375	2222	37653
376	2227	37616
377	2235	37652
378	2240	37626
379	2244	37597
380	2251	37600
381	2259	37642
382	2263	37606
383	2268	37578
384	2277	37621
385	2283	37626
386	2288	37594
387	2296	37629
388	2307	37696
389	2311	37658
390	2316	37645
391	2324	37677
392	2330	37664
393	2335	37644
394	2342	37654
395	2349	37664
396	2354	37647
397	2361	37653
398	2368	37671
399	2372	37628
400	2378	37627
401	2387	37665
402	2390	37619
403	2394	37585
404	2402	37606
405	2407	37595
406	2411	37549
407	2416	37527
408	2425	37569
409	2429	37541
410	2434	37513
411	2443	37555
412	2448	37535
413	2451	37494
414	2458	37492
415	2465	37506
416	2468	37463
417	2474	37452
418	2482	37473
419	2486	37440
420	2490	37408
421	2499	37450
422	2504	37429
423	2508	37399
424	2516	37415
425	2522	37412
426	2526	37375
427	2534	37411
428	2539	37389
429	2543	37349
430	2548	37328
431	2555	37349
432	2560	37318
433	2567	37332
434	2574	37342
435	2578	37304
436	2582	37275
437	2589	37286
438	2593	37258
439	2598	37233
440	2604	37227
441	2612	37261
442	2617	37234
443	2622	37210
444	2628	37212
445	2634	37210
446	2638	37173
447	2642	37141
448	2653	37208
449	2657	37174
450	2665	37198
451	2671	37191
452	2675	37163
453	2681	37157
454	2687	37158
455	2693	37142
456	2696	37100
457	2704	37126
458	2711	37130
459	2715	37100
460	2721	37095
461	2729	37117
462	2733	37093
463	2741	37103
464	2748	37114
465	2751	37073
466	2755	37047
467	2765	37089
468	2768	37050
469	2773	37023
470	2780	37042
471	2786	37034
472	2790	37007
473	2798	37021
474	2804	37021
475	2808	36985
476	2814	36977
477	2821	36997
478	2825	36964
479	2831	36955
480	2838	36964
481	2843	36950
482	2849	36938
483	2858	36972
484	2862	36948
485	2866	36917
486	2874	36936
487	2878	36908
488	2883	36884
489	2890	36892
490	2897	36900
491	2900	36860
492	2907	36865
493	2913	36870
494	2917	36835
495	2924	36840
496	2932	36866
497	2936	36833
498	2942	36833
499	2951	36869
500	2955	36839
501	2962	36847
502	2969	36852
503	2973	36817
504	2980	36822
505	2986	36823
506	2990	36794
507	2994	36761
508	3002	36789
509	3009	36792
510	3013	36764
511	3019	36756
512	3028	36787
513	3033	36777
514	3038	36753
515	3046	36781
516	3052	36766
517	3056	36743
518	3060	36718
519	3066	36707
520	3074	36723
521	3078	36697
522	3083	36679
523	3090	36688
524	3097	36693
525	3102	36677
526	3110	36700
527	3118	36719
528	3123	36701
529	3130	36713
530	3136	36703
531	3139	36665
532	3150	36723
533	3157	36728
534	3161	36701
535	3168	36704
536	3175	36705
537	3178	36675
538	3183	36656
539	3192	36682
540	3195	36648
541	3199	36617
542	3206	36620
543	3212	36623
544	3216	36592
545	3225	36615
546	3230	36606
547	3234	36579
548	3240	36576
549	3248	36588
550	3252	36564
551	3261	36588
552	3267	36586
553	3273	36585
554	3281	36604
555	3286	36583
556	3289	36546
557	3298	36577
558	3304	36567
559	3308	36539
560	3318	36575
561	3323	36559
562	3329	36559
563	3335	36552
564	3342	36560
565	3348	36554
